abell_id,ra,dec,richness_class,distance_class,bm_type,redshift
Abell 1,3.37,-9.35,1,6,I,0.0632
Abell 2,5.32,-2.85,0,5,III,0.0600
Abell 3,5.30,-3.23,0,5,,0.0624
Abell 4,5.93,-1.06,0,5,III,0.0600
Abell 5,19.33,78.64,0,4,II-III,0.2718
Abell 6,202.25,76.68,2,,III,0.1020
Abell 7,9.52,32.42,0,3,II-III,0.0240
Abell 8,19.91,47.94,2,2,II,
Abell 9,177.05,10.06,0,6,II-III,
Abell 10,166.39,55.46,0,4,III,0.1620
Abell 11,313.98,62.89,0,4,II,0.0403
Abell 12,11.24,36.03,2,6,II,0.2661
Abell 13,11.48,-19.50,0,5,I-II,0.0940
Abell 14,11.52,-19.21,0,5,,0.0757
Abell 15,318.27,83.66,4,5,,0.0697
Abell 16,61.55,14.41,0,4,,0.0164
Abell 17,152.03,37.51,1,,II,
Abell 18,338.08,67.07,1,4,II-III,0.2678
Abell 19,145.54,81.54,2,,I-II,0.2617
Abell 20,334.47,58.63,0,4,I-II,0.0474
Abell 21,14.70,28.67,1,3,III,0.0946
Abell 22,219.05,74.09,0,5,III,0.1968
Abell 23,269.06,-8.81,1,6,II-III,0.1668
Abell 24,271.25,33.84,5,4,II-III,0.1964
Abell 25,240.88,2.67,1,5,II,0.3360
Abell 26,322.08,-24.50,1,5,II-III,0.1421
Abell 27,15.30,-21.78,0,6,,0.1380
Abell 28,181.19,60.50,2,5,III,0.0846
Abell 29,0.43,89.33,2,3,,0.1040
Abell 30,193.22,46.92,1,5,III,
Abell 31,289.58,6.65,5,6,I,0.0827
Abell 32,281.28,-17.63,2,5,II-III,0.1744
Abell 33,18.78,-19.05,1,5,II-III,0.0721
Abell 34,192.22,11.30,5,4,I,0.0123
Abell 35,216.80,31.73,0,3,III,0.2519
Abell 36,100.85,38.43,3,,I,0.1674
Abell 37,349.82,36.07,0,6,,0.1483
Abell 38,92.50,-14.79,1,5,III,0.2786
Abell 39,191.25,-21.20,0,5,I,
Abell 40,278.62,-17.72,0,,II-III,0.3036
Abell 41,21.80,76.60,0,5,II-III,0.2059
Abell 42,179.63,58.07,0,4,III,0.0184
Abell 43,126.83,73.04,0,1,I,
Abell 44,240.65,11.87,1,3,II-III,0.0536
Abell 45,222.40,-24.36,0,4,III,0.2985
Abell 46,262.33,83.43,0,4,II,
Abell 47,115.07,89.78,5,6,,0.1132
Abell 48,153.40,52.96,2,4,I,0.3091
Abell 49,223.90,0.38,0,7,II,0.2917
Abell 50,25.71,15.33,1,5,I,0.3322
Abell 51,216.24,-19.51,0,4,I-II,0.1202
Abell 52,18.13,7.76,1,5,I,0.1972
Abell 53,172.79,13.70,2,6,I-II,
Abell 54,97.27,71.23,0,5,,
Abell 55,263.53,30.95,0,5,I,
Abell 56,237.83,-7.56,4,,III,0.0499
Abell 57,120.25,48.26,0,5,I-II,0.2342
Abell 58,293.69,40.02,1,5,II-III,0.2447
Abell 59,75.73,76.01,1,4,,
Abell 60,212.62,53.72,1,4,I,0.3387
Abell 61,111.08,49.05,1,4,,0.2408
Abell 62,276.30,45.97,0,,III,0.1464
Abell 63,97.91,17.51,0,6,II-III,0.1748
Abell 64,205.33,15.40,2,6,,0.0742
Abell 65,191.39,24.78,0,2,,0.3439
Abell 66,105.16,68.13,0,3,,0.3329
Abell 67,156.41,44.30,0,6,I-II,
Abell 68,30.54,-18.77,0,5,,0.0707
Abell 69,315.70,-5.37,1,2,,
Abell 70,261.76,52.27,0,5,I,0.0684
Abell 71,30.78,29.52,1,5,I-II,0.0720
Abell 72,91.80,69.35,0,5,II-III,0.2229
Abell 73,100.53,42.94,4,6,II-III,0.2678
Abell 74,336.13,-1.26,0,4,III,0.1538
Abell 75,60.41,67.48,1,7,II-III,0.0956
Abell 76,31.13,6.82,1,4,II-III,0.0392
Abell 77,160.96,20.42,3,,,0.2044
Abell 78,338.33,62.54,0,5,II-III,0.0993
Abell 79,208.11,14.35,1,7,II,0.2982
Abell 80,349.51,62.81,1,4,II-III,0.2678
Abell 81,150.28,21.97,3,5,II,0.2227
Abell 82,215.21,-6.73,0,3,II-III,0.2276
Abell 83,35.87,15.06,0,6,II,0.0455
Abell 84,149.92,6.04,1,5,III,
Abell 85,32.24,-9.30,2,3,I,0.0555
Abell 86,76.36,38.94,0,7,,0.3079
Abell 87,210.29,38.32,0,5,I,0.1216
Abell 88,95.56,-11.95,4,5,I,0.2075
Abell 89,175.19,23.70,1,6,I-II,0.1148
Abell 90,220.28,58.46,1,1,II,0.1421
Abell 91,153.44,-26.87,1,6,II,
Abell 92,174.50,22.36,1,5,I,
Abell 93,94.74,-20.82,0,6,I,0.0162
Abell 94,24.12,40.06,3,6,II-III,0.0263
Abell 95,42.47,79.11,1,4,I,0.3231
Abell 96,126.81,16.20,3,7,II-III,0.1626
Abell 97,39.87,38.57,1,3,,
Abell 98,93.62,-6.52,1,4,II-III,0.2299
Abell 99,210.02,45.07,1,6,II,0.2900
Abell 100,74.06,24.76,0,,,
